Question,No RAG,RAG,Evidence
What was Marquette's hitting percentage in 2025?,.22%,.3,"['ows', 'more rows', 'more rows', 'e rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Which Big East team had the most digs?,the New England Patriots,Big East,"['e rows', 'ows', 'more rows', 'more rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
List the setters on Creighton’s roster.,"robert mccartney jr. , jim mccartney , jim mccartney , jim mccartney , jim mccartney , jim mccartney , jim mccartney , jim mccartney , jim mc",Creighton is a professional basketball team.,"['e rows', 'more rows', 'more rows', 'see more rows', 'ows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
"Who were the best five hitters in the Big Ten, based on kills and hitting percentage?",adam sandler,Big Ten players,"['ows', 'more rows', 'more rows', 'e rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Who is likely to win if Kentucky and Florida play each other?,Florida,Florida,"['ows', 'e rows', 'more rows', 'more rows', 'ℹ Use `print(n = ...)` to see more rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Which player in the Big 12 had the most kills?,Bill Belichick,Big 12 player,"['more rows', 'more rows', 'see more rows', 'ows', 'e rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Which team(s) ended the season with the best winning record?,New York Giants,the New York Giants,"['ows', 'e rows', 'see more rows', 'more rows', 'more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
What was Stanford's blocking average?,.3,.3,"['e rows', 'more rows', 'more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
How many service aces did Texas A&M have?,76,0,"['more rows', 'more rows', 'ows', 'e rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
How did Wisconsin perform in five-set matches?,a sloppy team,Wisconsin was a .500 team.,"['ows', 'more rows', 'more rows', 'e rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Which Summit League tea had the highest hitting efficiency?,safflower,the defending champions,"['e rows', 'more rows', 'more rows', 'see more rows', 'ows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Rank the ACC teams by total blocks.,alabama,The ACC teams are ranked by total blocks.,"['e rows', 'more rows', 'more rows', 'see more rows', 'ows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
List the liberos on Louisville's roster,"Jeremy Hill, Mike Williams, and Mike Leach",Louisville is the home team of the Louisville Cardinals.,"['see more rows', 'more rows', 'more rows', 'e rows', 'ows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Who was the starting middle blocker for Marquette?,Mike Wallace,Marquette,"['e rows', 'ows', 'more rows', 'more rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Who were the top three servers in the ACC based on aces?,Jeremy Maclin,the top three servers in the ACC,"['ows', 'e rows', 'more rows', 'more rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
Compare the hitting percentages of the top hitters from Baylor and BYU.,Baylor has a .285 batting average and BYU has a .315 batting average.,Baylor has a .385 batting average and BYU has a .345 batting average.,"['ows', 'more rows', 'more rows', 'see more rows', 'e rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
How did the top Big 12 setter compare to the top Big Ten setter?,the top Big Ten setter,Big Ten setter was averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging averaging,"['more rows', 'more rows', 'see more rows', 'e rows', 'ℹ Use `print(n = ...)` to see more rows', 'ows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
"If Stanford played Nebraska, which team would statistically have the advantage?",the nebraska,Nebraska,"['ows', 'e rows', 'more rows', 'more rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
"Based on 2025 stats, who would likely win between Pitt and Louisville?",Louisville,Louisville,"['e rows', 'ℹ Use `print(n = ...)` to see more rows', 'ows', 'more rows', 'more rows', 'see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows', 'ℹ Use `print(n = ...)` to see more rows']"
